CPU: 12 | Memory: 4856135680 | Platform: win32
CPU: 12 | Memory: 4787085312 | Platform: win32
CPU: 12 | Memory: 4805632000 | Platform: win32
CPU: 12 | Memory: 4882391040 | Platform: win32
CPU: 12 | Memory: 4850753536 | Platform: win32
CPU: 12 | Memory: 4852359168 | Platform: win32
CPU: 12 | Memory: 4849115136 | Platform: win32
CPU: 12 | Memory: 4848066560 | Platform: win32
CPU: 12 | Memory: 4869443584 | Platform: win32
CPU: 12 | Memory: 4983681024 | Platform: win32
CPU: 12 | Memory: 4927496192 | Platform: win32
CPU: 12 | Memory: 4994969600 | Platform: win32
CPU: 12 | Memory: 4936224768 | Platform: win32
CPU: 12 | Memory: 4930224128 | Platform: win32
CPU: 12 | Memory: 4929945600 | Platform: win32
CPU: 12 | Memory: 4911337472 | Platform: win32
CPU: 12 | Memory: 4907847680 | Platform: win32
CPU: 12 | Memory: 4810219520 | Platform: win32
CPU: 12 | Memory: 4827164672 | Platform: win32
CPU: 12 | Memory: 4805439488 | Platform: win32
CPU: 12 | Memory: 4821270528 | Platform: win32
CPU: 12 | Memory: 4828442624 | Platform: win32
CPU: 12 | Memory: 4824977408 | Platform: win32
CPU: 12 | Memory: 4816207872 | Platform: win32
CPU: 12 | Memory: 4824838144 | Platform: win32
CPU: 12 | Memory: 4831956992 | Platform: win32
CPU: 12 | Memory: 4835041280 | Platform: win32
CPU: 12 | Memory: 4826501120 | Platform: win32
CPU: 12 | Memory: 4810891264 | Platform: win32
CPU: 12 | Memory: 4800860160 | Platform: win32
CPU: 12 | Memory: 4880646144 | Platform: win32
CPU: 12 | Memory: 4897558528 | Platform: win32
CPU: 12 | Memory: 4888756224 | Platform: win32
CPU: 12 | Memory: 4975116288 | Platform: win32
CPU: 12 | Memory: 4871675904 | Platform: win32
CPU: 12 | Memory: 4798898176 | Platform: win32
CPU: 12 | Memory: 4797042688 | Platform: win32
CPU: 12 | Memory: 4793094144 | Platform: win32
CPU: 12 | Memory: 4799983616 | Platform: win32
CPU: 12 | Memory: 4820574208 | Platform: win32
CPU: 12 | Memory: 4826791936 | Platform: win32
CPU: 12 | Memory: 4922146816 | Platform: win32
CPU: 12 | Memory: 4947255296 | Platform: win32
CPU: 12 | Memory: 4947107840 | Platform: win32
CPU: 12 | Memory: 4956962816 | Platform: win32
CPU: 12 | Memory: 4777021440 | Platform: win32
CPU: 12 | Memory: 4784295936 | Platform: win32
CPU: 12 | Memory: 4784054272 | Platform: win32
CPU: 12 | Memory: 4800278528 | Platform: win32
CPU: 12 | Memory: 4788584448 | Platform: win32
CPU: 12 | Memory: 4794892288 | Platform: win32
CPU: 12 | Memory: 4821147648 | Platform: win32
CPU: 12 | Memory: 4818452480 | Platform: win32
CPU: 12 | Memory: 4826107904 | Platform: win32
CPU: 12 | Memory: 4841607168 | Platform: win32
CPU: 12 | Memory: 4838522880 | Platform: win32
CPU: 12 | Memory: 4841799680 | Platform: win32
CPU: 12 | Memory: 4842438656 | Platform: win32
CPU: 12 | Memory: 4840255488 | Platform: win32
CPU: 12 | Memory: 4874383360 | Platform: win32
CPU: 12 | Memory: 4871675904 | Platform: win32
CPU: 12 | Memory: 4873211904 | Platform: win32
CPU: 12 | Memory: 4874178560 | Platform: win32
CPU: 12 | Memory: 4813611008 | Platform: win32
CPU: 12 | Memory: 4842618880 | Platform: win32
CPU: 12 | Memory: 4885225472 | Platform: win32
CPU: 12 | Memory: 4755578880 | Platform: win32
CPU: 12 | Memory: 4719337472 | Platform: win32
CPU: 12 | Memory: 4738113536 | Platform: win32
CPU: 12 | Memory: 4708397056 | Platform: win32
CPU: 12 | Memory: 4520476672 | Platform: win32
CPU: 12 | Memory: 4535443456 | Platform: win32
CPU: 12 | Memory: 4686221312 | Platform: win32
CPU: 12 | Memory: 4706062336 | Platform: win32
CPU: 12 | Memory: 4774789120 | Platform: win32
CPU: 12 | Memory: 4611379200 | Platform: win32
CPU: 12 | Memory: 4214947840 | Platform: win32
CPU: 12 | Memory: 3967447040 | Platform: win32
CPU: 12 | Memory: 3893366784 | Platform: win32
CPU: 12 | Memory: 3835490304 | Platform: win32
CPU: 12 | Memory: 3934412800 | Platform: win32
CPU: 12 | Memory: 3892305920 | Platform: win32
CPU: 12 | Memory: 4102352896 | Platform: win32
CPU: 12 | Memory: 3852492800 | Platform: win32
CPU: 12 | Memory: 3914813440 | Platform: win32
CPU: 12 | Memory: 4003213312 | Platform: win32
CPU: 12 | Memory: 4117266432 | Platform: win32
CPU: 12 | Memory: 4154896384 | Platform: win32
CPU: 12 | Memory: 4178214912 | Platform: win32
CPU: 12 | Memory: 4180758528 | Platform: win32
CPU: 12 | Memory: 4173287424 | Platform: win32
CPU: 12 | Memory: 4143947776 | Platform: win32
CPU: 12 | Memory: 4202618880 | Platform: win32
CPU: 12 | Memory: 4197470208 | Platform: win32
CPU: 12 | Memory: 4195659776 | Platform: win32
CPU: 12 | Memory: 4204867584 | Platform: win32
